Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.50     0.00  4559521     0.00     0.00  unordered_map, equal_to, allocator > >::find(unsigned int &)
  0.00      0.50     0.00  3596536     0.00     0.00  State & forward(remove_reference::type&)
  0.00      0.50     0.00  3068837     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_M_bucket_index(Hash_node_value, false> &, unsigned long) 
  0.00      0.50     0.00  2897395     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.50     0.00  2322284     0.00     0.00  Hashtable_alloc, false> > >::_M_node_allocator()
  0.00      0.50     0.00  2322284     0.00     0.00  Hashtable_ebo_helper, false> >, true>::_M_get()
  0.00      0.50     0.00  2322272     0.00     0.00  piecewise_construct_t & forward(remove_reference::type&)
  0.00      0.50     0.00  2322272     0.00     0.00  tuple&& forward >(remove_reference >::type&)
  0.00      0.50     0.00  2322268     0.00     0.00  tuple&& forward >(remove_reference >::type&)
  0.00      0.50     0.00  2316827     0.00     0.00  Hash_node_value_base >::_M_v()
  0.00      0.50     0.00  1991598     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_bucket_index(Hash_node_value, false> &) 
  0.00      0.50     0.00  1736261     0.00     0.00  _Deque_iterator::_Deque_iterator(_Deque_iterator &)
  0.00      0.50     0.00  1736261     0.00     0.00  remove_reference::type&& move(unsigned int&)
  0.00      0.50     0.00  1736260     0.00     0.00  _Deque_base >::_M_get_Tp_allocator()
  0.00      0.50     0.00  1736260     0.00     0.00  unordered_map, equal_to, allocator > >::operator[](unsigned int&&)
  0.00      0.50     0.00  1736260     0.00     0.00  deque >::begin()
  0.00      0.50     0.00  1736260     0.00     0.00  Map_base, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits, true>::operator[](unsigned int&&)
  0.00      0.50     0.00  1736259     0.00     0.00  deque >::front()
  0.00      0.50     0.00  1736259     0.00     0.00  deque >::pop_front()
  0.00      0.50     0.00  1736259     0.00     0.00  deque >::push_back(State &)
  0.00      0.50     0.00  1736259     0.00     0.00  queue > >::pop()
  0.00      0.50     0.00  1736259     0.00     0.00  queue > >::push(State &)
  0.00      0.50     0.00  1736259     0.00     0.00  queue > >::front()
  0.00      0.50     0.00  1736259     0.00     0.00  decltype (::new ((void*)(0)) State((declval)())) construct_at(State*, State &)
  0.00      0.50     0.00  1409249     0.00     0.00  is_constant_evaluated()
  0.00      0.50     0.00   620218     0.00     0.00  __deque_buf_size(unsigned long)
  0.00      0.50     0.00   580569     0.00     0.00  Prime_rehash_policy::_M_state() 
  0.00      0.50     0.00   580569     0.00     0.00  Hash_node_base::_Hash_node_base()
  0.00      0.50     0.00   580568     0.00     0.00  __gnu_cxx::new_allocator, false> >::deallocate(Hash_node, false>*, unsigned long)
  0.00      0.50     0.00   580568     0.00     0.00  __gnu_cxx::new_allocator, false> >::allocate(unsigned long, void *)
  0.00      0.50     0.00   580568     0.00     0.00  __gnu_cxx::new_allocator, false> >::_M_max_size() 
  0.00      0.50     0.00   580568     0.00     0.00  Node_iterator, false, false>::operator*() 
  0.00      0.50     0.00   580568     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_M_store_code(Hash_node_code_cache&, unsigned long) 
  0.00      0.50     0.00   580568     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_Scoped_node::~_Scoped_node()
  0.00      0.50     0.00   580568     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_insert_unique_node(unsigned long, unsigned long, Hash_node, false>*, unsigned long)
  0.00      0.50     0.00   580568     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_insert_bucket_begin(unsigned long, Hash_node, false>*)
  0.00      0.50     0.00   580568     0.00     0.00  pointer_traits, false>*>::pointer_to(Hash_node, false>&)
  0.00      0.50     0.00   580568     0.00     0.00  allocator_traits, false> > >::deallocate(allocator, false> >&, Hash_node, false>*, unsigned long)
  0.00      0.50     0.00   580568     0.00     0.00  void allocator_traits, false> > >::destroy >(allocator, false> >&, pair*)
  0.00      0.50     0.00   580568     0.00     0.00  allocator_traits, false> > >::allocate(allocator, false> >&, unsigned long)
  0.00      0.50     0.00   580568     0.00     0.00  Hash_node, false>::_Hash_node()
  0.00      0.50     0.00   580568     0.00     0.00  Node_iterator, false, false>::operator++()
  0.00      0.50     0.00   580568     0.00     0.00  Hashtable_alloc, false> > >::_M_deallocate_node(Hash_node, false>*)
  0.00      0.50     0.00   580568     0.00     0.00  Hashtable_alloc, false> > >::_M_deallocate_node_ptr(Hash_node, false>*)
  0.00      0.50     0.00   580568     0.00     0.00  Node_iterator_base, false>::_M_incr()
  0.00      0.50     0.00   580568     0.00     0.00  void destroy_at >(pair*)
  0.00      0.50     0.00   580568     0.00     0.00  Hash_node, false>* __addressof, false> >(Hash_node, false>&)
  0.00      0.50     0.00   580568     0.00     0.00  Hash_node, false>* __to_address, false> >(Hash_node, false>*)
  0.00      0.50     0.00   580568     0.00     0.00  Hash_node, false>* addressof, false> >(Hash_node, false>&)
  0.00      0.50     0.00   580567     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_Scoped_node::_Scoped_node, tuple >(Hashtable_alloc, false> > >*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00   580567     0.00     0.00  _Head_base::_M_head(_Head_base&)
  0.00      0.50     0.00   580567     0.00     0.00  _Head_base::_Head_base(unsigned int &)
  0.00      0.50     0.00   580567     0.00     0.00  _Tuple_impl::_Tuple_impl(_Tuple_impl&&)
  0.00      0.50     0.00   580567     0.00     0.00  _Tuple_impl::_Tuple_impl(unsigned int &)
  0.00      0.50     0.00   580567     0.00     0.00  void allocator_traits, false> > >::construct, piecewise_construct_t &, tuple, tuple >(allocator, false> >&, pair*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00   580567     0.00     0.00  pair::pair(piecewise_construct_t, tuple, tuple)
  0.00      0.50     0.00   580567     0.00     0.00  pair::pair(tuple&, tuple&, _Index_tuple, _Index_tuple)
  0.00      0.50     0.00   580567     0.00     0.00  tuple::tuple(tuple&&)
  0.00      0.50     0.00   580567     0.00     0.00  tuple::tuple(unsigned int &)
  0.00      0.50     0.00   580567     0.00     0.00  Hash_node, false>* Hashtable_alloc, false> > >::_M_allocate_node, tuple >(piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00   580567     0.00     0.00  unsigned int & __get_helper(_Tuple_impl&)
  0.00      0.50     0.00   580567     0.00     0.00  decltype (::new ((void*)(0)) pair((declval)(), (declval >)(), (declval >)())) construct_at, piecewise_construct_t &, tuple, tuple >(pair*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00   580567     0.00     0.00  tuple_element >::type& get(tuple&)
  0.00      0.50     0.00   580567     0.00     0.00  unsigned int & forward(remove_reference::type&)
  0.00      0.50     0.00   248116     0.00     0.00  _Deque_iterator::_M_set_node(State**)
  0.00      0.50     0.00   124062     0.00     0.00  deque >::size() 
  0.00      0.50     0.00   124062     0.00     0.00  operator-(_Deque_iterator &, _Deque_iterator &)
  0.00      0.50     0.00   124042     0.00     0.00  _Deque_base >::_M_get_Tp_allocator() 
  0.00      0.50     0.00   124019     0.00     0.00  __gnu_cxx::new_allocator::deallocate(State*, unsigned long)
  0.00      0.50     0.00   124019     0.00     0.00  __gnu_cxx::new_allocator::allocate(unsigned long, void *)
  0.00      0.50     0.00   124019     0.00     0.00  __gnu_cxx::new_allocator::_M_max_size() 
  0.00      0.50     0.00   124019     0.00     0.00  _Deque_base >::_M_allocate_node()
  0.00      0.50     0.00   124019     0.00     0.00  _Deque_base >::_M_deallocate_node(State*)
  0.00      0.50     0.00   124019     0.00     0.00  allocator_traits >::deallocate(allocator&, State*, unsigned long)
  0.00      0.50     0.00   124019     0.00     0.00  allocator_traits >::allocate(allocator&, unsigned long)
  0.00      0.50     0.00   124018     0.00     0.00  deque >::max_size() 
  0.00      0.50     0.00   124018     0.00     0.00  allocator_traits >::max_size(allocator &)
  0.00      0.50     0.00   124018     0.00     0.00  deque >::_S_max_size(allocator &)
  0.00      0.50     0.00   124018     0.00     0.00  void deque >::_M_push_back_aux(State &)
  0.00      0.50     0.00   124018     0.00     0.00  deque >::_M_reserve_map_at_back(unsigned long)
  0.00      0.50     0.00   124018     0.00     0.00  unsigned long & min(unsigned long &, unsigned long &)
  0.00      0.50     0.00      117     0.00     0.00  State** __niter_base(State**)
  0.00      0.50     0.00       78     0.00     0.00  State** __miter_base(State**)
  0.00      0.50     0.00       45     0.00     0.00  deque >::empty() 
  0.00      0.50     0.00       45     0.00     0.00  queue > >::empty() 
  0.00      0.50     0.00       45     0.00     0.00  operator==(_Deque_iterator &, _Deque_iterator &)
  0.00      0.50     0.00       44     0.00     0.00  queue > >::size() 
  0.00      0.50     0.00       39     0.00     0.00  State** __copy_move::__copy_m(State* *, State* *, State**)
  0.00      0.50     0.00       39     0.00     0.00  deque >::_M_reallocate_map(unsigned long, bool)
  0.00      0.50     0.00       39     0.00     0.00  State** __niter_wrap(State** &, State**)
  0.00      0.50     0.00       39     0.00     0.00  State** __copy_move_a(State**, State**, State**)
  0.00      0.50     0.00       39     0.00     0.00  State** __copy_move_a1(State**, State**, State**)
  0.00      0.50     0.00       39     0.00     0.00  State** __copy_move_a2(State**, State**, State**)
  0.00      0.50     0.00       39     0.00     0.00  State** copy(State**, State**, State**)
  0.00      0.50     0.00       24     0.00     0.00  __gnu_cxx::new_allocator::new_allocator()
  0.00      0.50     0.00       24     0.00     0.00  _Deque_base >::_M_get_map_allocator() 
  0.00      0.50     0.00       24     0.00     0.00  allocator::allocator(allocator &)
  0.00      0.50     0.00       24     0.00     0.00  allocator::~allocator()
  0.00      0.50     0.00       13     0.00     0.00  unsigned long & max(unsigned long &, unsigned long &)
  0.00      0.50     0.00       12     0.00     0.00  __gnu_cxx::new_allocator::deallocate(State**, unsigned long)
  0.00      0.50     0.00       12     0.00     0.00  __gnu_cxx::new_allocator::allocate(unsigned long, void *)
  0.00      0.50     0.00       12     0.00     0.00  __gnu_cxx::new_allocator::new_allocator()
  0.00      0.50     0.00       12     0.00     0.00  __gnu_cxx::new_allocator::_M_max_size() 
  0.00      0.50     0.00       12     0.00     0.00  allocator::allocator, false> >(allocator, false> > &)
  0.00      0.50     0.00       12     0.00     0.00  allocator::~allocator()
  0.00      0.50     0.00       12     0.00     0.00  _Deque_base >::_M_allocate_map(unsigned long)
  0.00      0.50     0.00       12     0.00     0.00  _Deque_base >::_M_deallocate_map(State**, unsigned long)
  0.00      0.50     0.00       12     0.00     0.00  allocator_traits >::deallocate(allocator&, State**, unsigned long)
  0.00      0.50     0.00       12     0.00     0.00  allocator_traits >::allocate(allocator&, unsigned long)
  0.00      0.50     0.00        8     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_begin() 
  0.00      0.50     0.00        7     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_uses_single_bucket(Hash_node_base**) 
  0.00      0.50     0.00        7     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_deallocate_buckets(Hash_node_base**, unsigned long)
  0.00      0.50     0.00        7     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_deallocate_buckets()
  0.00      0.50     0.00        6     0.00     0.00  __gnu_cxx::new_allocator::deallocate(Hash_node_base**, unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  __gnu_cxx::new_allocator::allocate(unsigned long, void *)
  0.00      0.50     0.00        6     0.00     0.00  __gnu_cxx::new_allocator::_M_max_size() 
  0.00      0.50     0.00        6     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_allocate_buckets(unsigned long)
  0.00      0.50     0.00        6     0.00     5.35  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_M_rehash(unsigned long, unsigned long &)
  0.00      0.50     0.00        6     0.00     0.00  pointer_traits::pointer_to(Hash_node_base*&)
  0.00      0.50     0.00        6     0.00     0.00  allocator_traits >::deallocate(allocator&, Hash_node_base**, unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  allocator_traits >::allocate(allocator&, unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  Hashtable_alloc, false> > >::_M_allocate_buckets(unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  Hashtable_alloc, false> > >::_M_deallocate_buckets(Hash_node_base**, unsigned long)
  0.00      0.50     0.00        6     0.00     0.00  Hash_node_base** __addressof(Hash_node_base*&)
  0.00      0.50     0.00        6     0.00     0.00  Hash_node_base** __to_address(Hash_node_base**)
  0.00      0.50     0.00        6     0.00     0.00  Hash_node_base** addressof(Hash_node_base*&)
  0.00      0.50     0.00        4     0.00     0.00  tuple&& forward >(remove_reference >::type&)
  0.00      0.50     0.00        4     0.00     0.00  unsigned int&& forward(remove_reference::type&)
  0.00      0.50     0.00        2     0.00     0.00  Prime_rehash_policy::_M_bkt_for_elements(unsigned long) 
  0.00      0.50     0.00        2     0.00     0.00  _Deque_iterator::_Deque_iterator()
  0.00      0.50     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.50     0.00        1     0.00     0.00  State::State()
  0.00      0.50     0.00        1     0.00     0.00  __gnu_cxx::new_allocator::new_allocator()
  0.00      0.50     0.00        1     0.00     0.00  __gnu_cxx::new_allocator, false> >::new_allocator()
  0.00      0.50     0.00        1     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::__rehash_policy() 
  0.00      0.50     0.00        1     0.00     0.00  allocator::allocator()
  0.00      0.50     0.00        1     0.00     0.00  allocator::~allocator()
  0.00      0.50     0.00        1     0.00     0.00  allocator, false> >::allocator()
  0.00      0.50     0.00        1     0.00     0.00  allocator, false> >::~allocator()
  0.00      0.50     0.00        1     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_Scoped_node::_Scoped_node, tuple >(Hashtable_alloc, false> > >*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00        1     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::begin()
  0.00      0.50     0.00        1     0.00     1.93  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::clear()
  0.00      0.50     0.00        1     0.00     5.35  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::rehash(unsigned long)
  0.00      0.50     0.00        1     0.00     0.00  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::_Hashtable()
  0.00      0.50     0.00        1     0.00     1.93  _Hashtable, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits >::~_Hashtable()
  0.00      0.50     0.00        1     0.00     0.00  _Head_base::_M_head(_Head_base&)
  0.00      0.50     0.00        1     0.00     0.00  _Head_base::_Head_base(unsigned int&&)
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_Deque_impl::_Deque_impl()
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_Deque_impl::~_Deque_impl()
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_M_create_nodes(State**, State**)
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_M_destroy_nodes(State**, State**)
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_M_initialize_map(unsigned long)
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::_Deque_base()
  0.00      0.50     0.00        1     0.00     0.00  _Deque_base >::~_Deque_base()
  0.00      0.50     0.00        1     0.00     0.00  _Tuple_impl::_M_head(_Tuple_impl&)
  0.00      0.50     0.00        1     0.00     0.00  _Tuple_impl::_Tuple_impl(_Tuple_impl&&)
  0.00      0.50     0.00        1     0.00     0.00  _Tuple_impl::_Tuple_impl(unsigned int&&)
  0.00      0.50     0.00        1     0.00     0.00  unordered_map, equal_to, allocator > >::begin()
  0.00      0.50     0.00        1     0.00     5.35  unordered_map, equal_to, allocator > >::reserve(unsigned long)
  0.00      0.50     0.00        1     0.00     0.00  unordered_map, equal_to, allocator > >::unordered_map()
  0.00      0.50     0.00        1     0.00     0.00  void allocator_traits, false> > >::construct, piecewise_construct_t &, tuple, tuple >(allocator, false> >&, pair*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00        1     0.00     0.00  pair::pair(piecewise_construct_t, tuple, tuple)
  0.00      0.50     0.00        1     0.00     0.00  pair::pair(tuple&, tuple&, _Index_tuple, _Index_tuple)
  0.00      0.50     0.00        1     0.00     0.00  deque >::_M_destroy_data(_Deque_iterator, _Deque_iterator, allocator &)
  0.00      0.50     0.00        1     0.00     0.00  deque >::end()
  0.00      0.50     0.00        1     0.00     0.00  deque >::deque()
  0.00      0.50     0.00        1     0.00     0.00  deque >::~deque()
  0.00      0.50     0.00        1     0.00     0.00  queue > >::queue >, void>()
  0.00      0.50     0.00        1     0.00     0.00  queue > >::~queue()
  0.00      0.50     0.00        1     0.00     0.00  tuple::tuple(unsigned int&&)
  0.00      0.50     0.00        1     0.00     0.00  tuple::tuple(tuple&&)
  0.00      0.50     0.00        1     0.00     5.35  Rehash_base, allocator >, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Prime_rehash_policy, Hashtable_traits, integral_constant >::reserve(unsigned long)
  0.00      0.50     0.00        1     0.00     0.00  Hash_code_base, Select1st, hash, Mod_range_hashing, Default_ranged_hash, false>::_Hash_code_base()
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_base, Select1st, equal_to, hash, Mod_range_hashing, Default_ranged_hash, Hashtable_traits >::_Hashtable_base()
  0.00      0.50     0.00        1     0.00     0.00  Hash_node, false>* Hashtable_alloc, false> > >::_M_allocate_node, tuple >(piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00        1     0.00     1.93  Hashtable_alloc, false> > >::_M_deallocate_nodes(Hash_node, false>*)
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_alloc, false> > >::_Hashtable_alloc()
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_alloc, false> > >::~_Hashtable_alloc()
  0.00      0.50     0.00        1     0.00     0.00  Prime_rehash_policy::_Prime_rehash_policy(float)
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_ebo_helper, false> >, true>::_Hashtable_ebo_helper()
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_ebo_helper, false> >, true>::~_Hashtable_ebo_helper()
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_ebo_helper, true>::_Hashtable_ebo_helper()
  0.00      0.50     0.00        1     0.00     0.00  Hashtable_ebo_helper, true>::_Hashtable_ebo_helper()
  0.00      0.50     0.00        1     0.00     0.00  unsigned int& __get_helper(_Tuple_impl&)
  0.00      0.50     0.00        1     0.00     0.00  decltype (::new ((void*)(0)) pair((declval)(), (declval >)(), (declval >)())) construct_at, piecewise_construct_t &, tuple, tuple >(pair*, piecewise_construct_t &, tuple&&, tuple&&)
  0.00      0.50     0.00        1     0.00     0.00  tuple forward_as_tuple(unsigned int&&)
  0.00      0.50     0.00        1     0.00     0.00  tuple_element >::type& get(tuple&)
  0.00      0.50     0.00        1     0.00     0.00  unsigned int&& forward(remove_reference::type&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 2.00% of 0.50 seconds

index % time    self  children    called     name
                                                 
[1]     98.6    0.00    0.49                 main [1]
                0.07    0.42       1/1           solve(State &, int) [2]
